省份,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
湖南,0.07557801538913368,0.07368249040951028,0.11099883851531858,0.11594644193182853,0.0748582815741905,0.10985680534489399,0.10931605392348467,0.12088860162080163,0.12325277493396966,0.08762158762442944,0.09061067280941752,0.08909124189128512
广东,0.2436000904822977,0.23849707671709378,0.35082440264803694,0.3483060209572891,0.23453940328145623,0.33881714832350796,0.3376979853020084,0.3633287452449455,0.3674155911920989,0.2722970579859003,0.2772329207183732,0.27308845224713196
广西,0.05793223290001527,0.0559937524762031,0.0800785460947448,0.0789622572731595,0.052126276906701186,0.07355484370376487,0.07653503712268687,0.08412888190824652,0.08611695294083126,0.06378324226874259,0.06327313675743017,0.058567826474608696
海南,0.04336428016423817,0.04024007413028926,0.07269447532339787,0.06735277864408983,0.046805000064917085,0.07266413031694065,0.07294398347754595,0.06696852854142507,0.05198021186395784,0.03758983596423932,0.039686506048000766,0.03650738397230456
重庆,0.07041718723311217,0.07172736755107297,0.10745948691456139,0.1094495185730121,0.06914760204418663,0.0990673283728854,0.10531863517709018,0.10898891358181284,0.105090248998989,0.07203909827381329,0.0719186962264671,0.07055991729195377
四川,0.09995209198885568,0.09759911312346486,0.14354108757101042,0.14657660596335412,0.091191311564375,0.13020340929678856,0.1281538640888425,0.14302807391195604,0.137151184557107,0.10224453957799137,0.10474209559941079,0.1060285315052915
贵州,0.03997976011471197,0.041143422770150824,0.10141303760983433,0.12561120811317844,0.04604897200151728,0.06972042448514282,0.0683164560325483,0.07300040176023814,0.08083636303064504,0.05219019571254803,0.05452275165089161,0.04629184792116583
云南,0.05267363858110531,0.05412635425795799,0.15666732201959643,0.18175013564327047,0.05465049858473427,0.09345304221307452,0.07210283729282223,0.0789231845586797,0.08323042223976544,0.0572393916591527,0.06018710043140013,0.054168951291050024
西藏,0.5335495818474797,0.028800217962634912,0.3537297452993508,0.37273501784048113,0.056220563014239465,0.4077732593810288,0.42252817285216915,0.24650496496867047,0.1860714615258643,0.048541551563601015,0.056448189724827326,0.5760894208295733
陕西,0.06731897818998568,0.06506151298259856,0.10250398928371646,0.10263928077730683,0.058221561783891554,0.08305317079867873,0.08967035321777021,0.09642218749771406,0.1023796129633836,0.06687078426738245,0.06959851194939361,0.068015176144333
甘肃,0.03960964508371457,0.040794394875022906,0.08203843384056614,0.1209015719829385,0.046244626186350626,0.07165316153055401,0.0727392722061517,0.07430632596748847,0.06743369097813853,0.03648630746441278,0.03918908298815338,0.03782520920286192
青海,0.029350083654127036,0.028129545735258107,0.14730395797097057,0.1952351543396913,0.5478937910112329,0.36609774327538747,0.3875915215551527,0.36848946276988864,0.38464744097845566,0.5608332646520896,0.5564060519693925,0.025511269643638413
宁夏,0.036820262015854276,0.034833945907754724,0.07225885572887397,0.053892695125724865,0.03555993402548161,0.2134520341357207,0.06279254110525412,0.08207763287508342,0.39482202647121223,0.03241055815210575,0.03299456622095321,0.03183767165989975
新疆,0.048394724076561084,0.05040867715153562,0.17338799721909726,0.2272913978098741,0.05350900174993611,0.0848813086870467,0.24511860721028605,0.13307583136901,0.12441846534452207,0.05433941175122525,0.053743475360993685,0.05116228280281143
